indicativo,nombre,altitud,provincia,num_records,avg_tmin,avg_tmax,avg_prec,avg_velmedia,std_tmed,longest_gap_days
9698U,TALARN,807,LLEIDA,3938,7.963633952254642,20.325649867374008,1.6826042202779208,2.376605033384694,7.437225130108298,150
9707,LLIMIANA,515,LLEIDA,3867,7.567195347607718,22.27673803859371,1.6261562581656648,1.8712425110705913,7.935039769272311,76
9718X,TORDERA - GRANYANELLA,463,LLEIDA,3194,9.519307716735472,20.588377262623055,0.9341933376877858,3.466766109785203,7.768022043935463,707
9724X,OS DE BALAGUER,520,LLEIDA,3770,8.028621338349906,20.920854608976082,1.1132816675574557,2.6398988554697893,7.746867447998176,35
9726E,LLORAC,657,TARRAGONA,4013,5.362309040821437,19.01079388930629,1.1862975951903807,3.447258225324028,7.019039770020673,10
9729X,MOLLERUSSA,252,LLEIDA,3930,9.443360995850622,22.163303941908712,0.9426861009890682,2.059320735444331,7.771545823392864,25
9744B,VALL DE BOÍ,1089,LLEIDA,3903,3.5247043701799488,18.588280647648418,2.5772245762711865,1.5636554071746531,6.4321267724341125,77
9751,SOPEIRA,760,HUESCA,3938,7.833350331463539,20.24952866242038,2.131569529652352,3.6347416645456865,6.961885385015955,49
9756X,BENABARRE,765,HUESCA,4011,7.31715,19.410147463134216,1.5843029087261784,2.630920888445221,7.125846097001312,4
9771C,LLEIDA,186,LLEIDA,4018,9.906669985067198,22.675908412145343,1.014387308533917,2.4186660029865608,7.945685944706267,0
9772X,LA POBLA DE CÉRVOLES,673,LLEIDA,4011,9.440769422932801,20.0860104921309,1.2646103896103895,,7.2387256878085955,7
9775X,EL SOLERÀS,392,LLEIDA,4011,9.58687907676869,21.643652784746614,1.0022533800701052,,7.683031320824598,6
9784P,BIELSA,992,HUESCA,3955,5.06431829700963,18.711333671399593,3.669071094966269,1.6267005076142134,6.630795204698776,33
9808X,"AÍNSA-SOBRARBE, LA SERRETA",610,HUESCA,3996,7.557942283563362,20.809387550200803,2.2020316027088036,2.6102944877925998,7.343863018450829,7
9814I,"TORLA-ORDESA, EL CEBOLLAR",1905,HUESCA,2239,3.9321268990169798,11.15201072386059,3.5506899724011034,2.9299640610961366,6.575146791070032,1
